2017-09-15 11:48:14:383;	0.004047753907119567;	-0.0012716601969063922;	-0.0006854389230769199;	0.0008041992187500027;	0.0035463867187500026;	1.00047314453125
2017-09-15 11:48:15:427;	0.007429128496784889;	0.023034090266884168;	0.009867610307692442;	-0.006275878906249997;	-0.0018247070312499974;	0.99876416015625
2017-09-15 11:48:16:474;	-0.005946079875306797;	-0.004061857444543279;	-0.0036758292307688934;	0.0008041992187500027;	-0.0047543945312499974;	1.00462353515625
2017-09-15 11:48:17:520;	0.023291593004966596;	0.00639362665765957;	0.0038975547692313064;	0.0027573242187500027;	0.0067202148437500026;	0.99461376953125
2017-09-15 11:48:18:546;	0.04173590246301099;	-0.013149517567874027;	0.01626268538461606;	-0.0033461914062499973;	-0.0025571289062499974;	0.99656689453125
2017-09-15 11:48:19:574;	-0.019539676690586358;	0.014256063706993196;	0.01769540876923154;	0.0012924804687500027;	-0.0030454101562499974;	0.99607861328125
2017-09-15 11:48:20:630;	-0.011816614898906522;	0.05902105232222926;	0.02361941723077009;	-0.004322753906249997;	0.0008608398437500026;	1.00511181640625
2017-09-15 11:48:21:659;	-0.04135521721445959;	0.0076734016663177656;	0.02438233969230861;	-0.0035903320312499973;	0.0033022460937500026;	1.00926220703125
2017-09-15 11:48:22:705;	-0.0050347867165023465;	0.030553311071294706;	0.047326176153847155;	-0.0038344726562499973;	0.0028139648437500026;	0.99363720703125
2017-09-15 11:48:23:734;	0.008943449122144181;	0.008959844937265746;	0.04406730676923176;	0.0022690429687500027;	-0.00011572265624999745;	0.99925244140625
2017-09-15 11:48:24:745;	-0.005951018831736104;	-0.004913597598839003;	0.02994490800000103;	-0.0033461914062499973;	0.0011049804687500026;	0.99461376953125
2017-09-15 11:48:25:782;	-0.02780546725053927;	-0.022820059096607278;	0.035214753538462616;	-0.0009047851562499973;	-0.0018247070312499974;	1.00364697265625
2017-09-15 11:48:26:812;	-0.01300525351919304;	-0.03144592175797832;	0.046794291384616486;	-0.0004165039062499973;	0.0025698242187500026;	0.99339306640625
2017-09-15 11:48:27:832;	-0.022130133805865586;	-0.029415692551258067;	0.04767933153846264;	-0.004811035156249997;	0.0011049804687500026;	1.00144970703125
2017-09-15 11:48:28:883;	-0.033547493768674046;	-0.05611049658632633;	0.07311137615384716;	0.004466308593750003;	-0.0023129882812499974;	1.00267041015625
2017-09-15 11:48:29:913;	-0.025785857799540172;	-0.012115583398186523;	0.07694779184615477;	0.00007177734375000272;	0.00012841796875000255;	0.99607861328125
2017-09-15 11:48:30:965;	-0.021196805250181465;	0.010988950113739734;	0.0755229676923085;	-0.005055175781249997;	-0.0008481445312499974;	0.99632275390625
2017-09-15 11:48:31:989;	-0.00985109679494176;	-0.015800233259322664;	0.06490595353846232;	-0.0031020507812499973;	-0.009393066406249997;	1.00633251953125
2017-09-15 11:48:33:010;	-0.028317235177513257;	0.018695720941573374;	0.06034508415384686;	0.0012924804687500027;	-0.0025571289062499974;	1.00340283203125
2017-09-15 11:48:34:038;	-0.00941354303037763;	0.060192191966408286;	0.06841923738461606;	-0.004322753906249997;	0.0006166992187500026;	0.98973095703125
2017-09-15 11:48:35:043;	0.00312246783151541;	-0.005448050959986491;	0.055329653076923654;	-0.0004165039062499973;	-0.0030454101562499974;	1.00242626953125
2017-09-15 11:48:36:074;	0.0035509845823222482;	-0.0034525151105032005;	0.04362658461538511;	0.0025131835937500027;	-0.0025571289062499974;	1.00022900390625
